aural,oral
auger,augur
ate,eight
arc,ark
ant,aunt
altar,alter
alms,arms
allowed,aloud
all,awl
air,heir
ail,ale
ad,add
buy,by,bye
broach,brooch
bridal,bridle
brews,bruise
break,brake
braid,brayed
bored,board
blue,blew
billed,build
berth,birth
berry,bury
beer,bier
bean,been
beach,beech
be,bee
bat,bat
baron,barren
bare,bear
bard,barred
band,banned
band,band
ball,bawl
bald,bawled
baize,bays
coun,counsel
cool,cool
complement,compliment
coarse,course
cite,sight,site
choral,coral
chili,chilly
cereal,serial
census,sense
cellar,seller
capital,capitol
dual,duel
draft,draught
done,dun
doe,dough
discreet,discrete
die,dye
deer,dear
earn,urn
ewe,you
foul,fowl
fort,fought
foreword,forward
for,four
flour,flower
flex,flecks
flew,flu,flue
flea,flee
flaw,floor
fir,fur
find,fined
file,phial
faze,phase
farther,father
gait,gate
gamble,gambol
genes,jeans
gored,gourd
great,grate
groan,grown
hart,heart
hear,here
heel,heal
hi,high
him,hymn
hoard,horde
hole,whole
holy,wholly
hour,our
i,eye
idle,idol
incite,insight
knead,need
knew,new
knight,night
knot,not
know,no
leak,leek
lessen,lesson
levee,levy
links,lynx
loan,lone
loot,lute
made,maid
mail,male
main,mane
manna,manner
marshal,martial
mask,masque
maw,more
medal,meddle
meet,meat
might,mite
mist,missed
moose,mousse
muscle,mussel
none,nun
oar,or
overdo,overdue
pail,pale
pain,pane
pair,pear
passed,past
peace,piece
peak,peek
pedal,peddle
plane,plain
principal,principle
profit,prophet
rain,reign
red,read
right,write
ring,wring
rode,road
role,roll
rouse,rows
rung,wrung
sail,sale
sauce,seen
scene,seen
scull,skull
see,sea
shoe,shoo
side,sighed
slay,sleigh
soar,sore
sole,soul
some,sum
sort,sought
staid,stayed
stalk,stork
stare,stair
stationary,stationery
steal,steel
stile,style
sun,son
tail,tale
team,teem
than,then
throne,thrown
tide,tied
to,too,two
toe,tow
vain,vein
vary,very
wail,whale
waste,waist
way,weigh
weak,week
weather,whether
where,wear
which,witch
who's,whose
won,one
would,wood
you're,your
